,dis24
2017-01-01,4677.5986
2017-01-02,4619.59
2017-01-03,4557.703
2017-01-04,4503.1875
2017-01-05,4464.04
2017-01-06,4439.4517
2017-01-07,4419.7183
2017-01-08,4393.1543
2017-01-09,4355.909
2017-01-10,4313.8604
2017-01-11,4280.373
2017-01-12,4262.729
2017-01-13,4264.9365
2017-01-14,4288.0664
2017-01-15,4326.2446
2017-01-16,4364.9175
2017-01-17,4383.203
2017-01-18,4366.1284
2017-01-19,4310.789
2017-01-20,4223.7183
2017-01-21,4117.065
2017-01-22,4004.4363
2017-01-23,3895.5964
2017-01-24,3795.259
2017-01-25,3705.025
2017-01-26,3624.0571
2017-01-27,3551.4556
2017-01-28,3487.7441
2017-01-29,3434.2957
2017-01-30,3390.6143
2017-01-31,3357.1877
2017-02-01,3336.2637
2017-02-02,3326.8667
2017-02-03,3325.0303
2017-02-04,3325.68
2017-02-05,3323.9153
2017-02-06,3318.5217
2017-02-07,3308.383
2017-02-08,3291.484
2017-02-09,3266.5757
2017-02-10,3234.961
2017-02-11,3200.3362
2017-02-12,3169.985
2017-02-13,3152.8628
2017-02-14,3156.7463
2017-02-15,3180.5015
2017-02-16,3210.5713
2017-02-17,3232.468
2017-02-18,3241.2131
2017-02-19,3241.4753
2017-02-20,3243.2944
2017-02-21,3254.3098
2017-02-22,3273.26
2017-02-23,3296.4414
2017-02-24,3324.4385
2017-02-25,3371.8909
2017-02-26,3456.4998
2017-02-27,3573.3123
2017-02-28,3691.9707
2017-03-01,3787.1428
2017-03-02,3860.5393
2017-03-03,3932.5276
2017-03-04,4026.0625
2017-03-05,4152.361
2017-03-06,4308.62
2017-03-07,4472.875
2017-03-08,4614.6187
2017-03-09,4746.4897
2017-03-10,4942.7085
2017-03-11,5277.5776
2017-03-12,5740.482
2017-03-13,6214.849
2017-03-14,6594.043
2017-03-15,6873.519
2017-03-16,7116.076
2017-03-17,7436.965
2017-03-18,7970.808
2017-03-19,8715.942
2017-03-20,9428.174
2017-03-21,9856.601
2017-03-22,9978.721
2017-03-23,9909.575
2017-03-24,9754.271
2017-03-25,9565.763
2017-03-26,9370.15
2017-03-27,9179.592
2017-03-28,9018.584
2017-03-29,8908.182
2017-03-30,8812.035
2017-03-31,8704.82
2017-04-01,8654.159
2017-04-02,8781.395
2017-04-03,9076.185
2017-04-04,9434.782
2017-04-05,9772.065
2017-04-06,10143.518
2017-04-07,10645.635
2017-04-08,11189.663
2017-04-09,11643.721
2017-04-10,12025.569
2017-04-11,12462.415
2017-04-12,13090.165
2017-04-13,14012.63
2017-04-14,15163.976
2017-04-15,16157.188
2017-04-16,16576.771
2017-04-17,16401.863
2017-04-18,15935.635
2017-04-19,15543.61
2017-04-20,15430.343
2017-04-21,15620.33
2017-04-22,15945.564
2017-04-23,16186.145
2017-04-24,16117.656
2017-04-25,15711.688
2017-04-26,15272.8
2017-04-27,15074.216
2017-04-28,15261.829
2017-04-29,15776.864
2017-04-30,16496.537
2017-05-01,17300.209
2017-05-02,18069.918
2017-05-03,19242.549
2017-05-04,22263.605
2017-05-05,27895.912
2017-05-06,32834.543
2017-05-07,34386.707
2017-05-08,33661.793
2017-05-09,32031.727
2017-05-10,30036.0
2017-05-11,28020.719
2017-05-12,26324.672
2017-05-13,25010.348
2017-05-14,23959.465
2017-05-15,23093.43
2017-05-16,22524.672
2017-05-17,22096.486
2017-05-18,21612.088
2017-05-19,21066.848
2017-05-20,20403.77
2017-05-21,19797.516
2017-05-22,19386.158
2017-05-23,19132.508
2017-05-24,19102.531
2017-05-25,19411.361
2017-05-26,20103.176
2017-05-27,21193.658
2017-05-28,22534.65
2017-05-29,23965.512
2017-05-30,25471.152
2017-05-31,26827.45
2017-06-01,27715.84
2017-06-02,28345.482
2017-06-03,29237.69
2017-06-04,30955.594
2017-06-05,33295.348
2017-06-06,35594.688
2017-06-07,38025.33
2017-06-08,41385.496
2017-06-09,44977.598
2017-06-10,46548.51
2017-06-11,45383.406
2017-06-12,42644.52
2017-06-13,39447.05
2017-06-14,36334.285
2017-06-15,33874.797
2017-06-16,32577.912
2017-06-17,32282.438
2017-06-18,32875.45
2017-06-19,34996.656
2017-06-20,39163.49
2017-06-21,45643.69
2017-06-22,53441.43
2017-06-23,58122.15
2017-06-24,57510.234
2017-06-25,54747.668
2017-06-26,51781.34
2017-06-27,49563.793
2017-06-28,48052.0
2017-06-29,46784.29
2017-06-30,45762.625
2017-07-01,45281.508
2017-07-02,46160.66
2017-07-03,50737.86
2017-07-04,58752.69
2017-07-05,64245.168
2017-07-06,66710.69
2017-07-07,69708.195
2017-07-08,72524.37
2017-07-09,72237.82
2017-07-10,72416.586
2017-07-11,78560.94
2017-07-12,86407.6
2017-07-13,88942.67
2017-07-14,86348.5
2017-07-15,83035.87
2017-07-16,79595.78
2017-07-17,74621.266
2017-07-18,68335.27
2017-07-19,61862.15
